%Station,Niskin,Year,Month,Day,Hour,Minute,Second,Latitude(S),Longitude(W),BottomDepth(m),Depth(m),Pressure(dbar),T090(degC),T190(degC),C0(S/m),C1(S/m),V0(V),V1(V),V2(V),V3(V),V4(V),V5(V),V6(V),V7(V),FlECO-AFL(mg/m^3),SbOx(umol/kg),Par(uEinsteins/m2/sec),Alt(m),CStarAt(1/m),CStarTr(%),Sal00,Sal11,Sigma-t00,Sigma-t11,CHLDepth,CHL(ug/l),Phaeo(ug/l),NUTBottleID,PO4(uM),Sil(uM),NO3(uM),NO2(uM),NH4(uM)
2,23,2017,6,9,22,2,3,64.38072,-167.07002,29.5,19.78,19.97,-0.396,-0.395,2.657539,2.657699,0.0014,3.9385,1.3774,3.2901,1.9849,2.9452,0.5069,0.1074,2.2662,401.797,33.6,10.14,0.6846,84.2703,32.149,32.15,25.822,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24,2017,6,9,22,2,14,64.38072,-167.07002,29.5,19.67,19.87,-0.395,-0.394,2.657589,2.65778,0.0013,3.9368,1.3764,3.2902,1.9994,2.9471,0.5157,0.0844,1.7142,402.565,34.77,10.32,0.6863,84.234,32.149,32.15,25.822,25.823,NaN,NaN,NaN,12,0.88,0.5,0,0.01,0.05
3,1,2017,6,9,22,31,26,64.38072,-167.07,29.5,20.13,20.33,-0.374,-0.353,2.659186,2.660666,0.0015,3.9713,1.3759,3.2902,1.8986,2.9513,0.4883,0.0853,1.7345,403.047,27.46,9.76,0.6513,84.9732,32.147,32.145,25.819,25.817,NaN,NaN,NaN,13,0.935,8.1,0.5,0.06,0.28
3,2,2017,6,9,22,31,39,64.38072,-167.07002,29.5,20.14,20.34,-0.39,-0.382,2.65809,2.658741,0.0015,3.9496,1.3091,3.2901,1.9107,2.9512,0.4802,0.0822,1.6604,403.16,28.25,9.6,0.6733,84.5076,32.15,32.15,25.822,25.822,NaN,NaN,NaN,14,0.986,1.8,0.1,0.05,0.23
3,3,2017,6,9,22,31,47,64.38072,-167.07001,29.5,20.06,20.26,-0.391,-0.386,2.657996,2.65836,0.0016,3.9573,1.3095,3.29,1.9306,2.9484,0.4813,0.0957,1.9833,402.49,29.6,9.63,0.6655,84.6724,32.15,32.149,25.822,25.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,4,2017,6,9,22,31,54,64.38072,-167.07,29.5,20.25,20.45,-0.395,-0.393,2.657793,2.657924,0.0013,3.9647,1.3774,3.2903,1.909,2.9494,0.4772,0.0875,1.7883,402.544,28.14,9.54,0.6581,84.8302,32.151,32.151,25.823,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,5,2017,6,9,22,32,1,64.38072,-167.07,29.5,20.25,20.45,-0.395,-0.394,2.657782,2.657874,0.0015,3.9619,1.3802,3.29,1.9121,2.9474,0.4834,0.0744,1.4732,402.298,28.34,9.67,0.6609,84.771,32.151,32.151,25.823,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,6,2017,6,9,22,32,19,64.38072,-167.07,29.5,20.29,20.49,-0.395,-0.393,2.657771,2.657936,0.0014,3.9575,1.3805,3.2902,1.9141,2.9496,0.4794,0.0913,1.8786,403.236,28.47,9.59,0.6653,84.6766,32.151,32.151,25.823,25.823,NaN,NaN,NaN,15,0.869,1.7,0.1,0.01,0.09
3,7,2017,6,9,22,32,26,64.38072,-167.07,29.5,20.14,20.34,-0.381,-0.382,2.658634,2.65873,0.0012,3.9615,1.3108,3.2902,1.9229,2.9495,0.4946,0.0921,1.899,402.501,29.07,9.89,0.6613,84.7631,32.148,32.15,25.82,25.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,8,2017,6,9,22,32,40,64.38072,-167.07,29.5,20.03,20.23,-0.393,-0.39,2.657874,2.658116,0.0014,3.9426,1.3116,3.2902,1.9511,2.9452,0.488,0.0845,1.7166,401.341,31.05,9.76,0.6803,84.3593,32.15,32.15,25.823,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
