	secondary_number	cellid	side	project	station	station_type	date	CTD_number	filter	depth_original	depth_type	depth_m	bottom_depth	lat	lon	temp	salinity	DO	POC (ug/L)	PON (ug/L)	SPM (ug/L)	FlECO-AFL(mg/m^3)	chl depth	chl (ug/l)	phaeo (ug/l)	PO4(uM)	Sil(uM)	NO3(uM)	NO2(uM)	NH4(uM)	N+N (umol/L)	mass	log_name	bottle	niskin_id_meta	volume_filtered_l	transmission_pct	niskin_id_nutrients	poc_pon_ratio	poc_pon_ratio_redfield	cast_depth	delO18	sedchla_mg_m2	notes	notes2
BOX_11_12		BOX_11_12	9-3-17 48 W8 40M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	40	mid	40.274	50.5	72.492	-165.6851667	2.55485	32.66745	274.6383534				0.4614	48_5	0.593	0.248	1.389	15.1	0.3	0.04	0.92	0.34		9_3_17_W_8_40m_B6_0.2	6	40.274_50.5			48_5							RNALater no
BOX_11_13		BOX_11_13	9-3-17 48 W8 50M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	50	bottom	48.536	50.5	72.492	-165.6851667	2.475	32.70235	263.3078577				0.3676	48_3	0.466	0.311	1.328	14.9	0.3	0.04	1.04	0.34		9_3_17_W_8_50m_B4_0.2	4	48.536_50.5			48_3							RNALater no
BOX_11_14		BOX_11_14	9-3-17 48 W8 50M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	50	bottom	48.536	50.5	72.492	-165.6851667	2.475	32.70235	263.3078577				0.3676	48_3	0.466	0.311	1.328	14.9	0.3	0.04	1.04	0.34		9_3_17_W_8_50m_B4_0.2	4	48.536_50.5			48_3							RNALater no
AMBON_2015_08_10_BC2_0_A_surface		AMBON_2015_08_10_BC2_0_A_surface	AMBON_2015_08_10_BC2_0_A_surface	AMBON2015	 BC2	S	  Aug 10 2015  08:54:48	1	0.2	surface	surf	2	51.6	70.925	-159.943	8.29	30.92	283.159				0.399	6										AMBON2015_001_2	6			94.6871								
AMBON_2015_08_10_BC2_20_A_mid		AMBON_2015_08_10_BC2_20_A_mid	AMBON_2015_08_10_BC2_20_A_mid	AMBON2015	 BC2	S	  Aug 10 2015  08:54:48	1	0.2	mid	mid	19	51.6	70.925	-159.943	7.83	31.19	287.215				0.441	3										AMBON2015_001_19	3			95.4052								
AMBON_2015_08_10_BC2_50_A_deep		AMBON_2015_08_10_BC2_50_A_deep	AMBON_2015_08_10_BC2_50_A_deep	AMBON2015	 BC2	S	  Aug 10 2015  08:54:48	1	0.2	deep	bottom	53	51.6	70.925	-159.943	4.07	31.55	290.444				1.914	1										AMBON2015_001_53	1			76.2886								
AMBON_2015_08_12_DBO3.4_2.5_A_surface		AMBON_2015_08_12_DBO3.4_2.5_A_surface	AMBON_2015_08_12_DBO3.4_2.5_A_surface	AMBON2015	 DBO3.4	S	  Aug 12 2015  14:42:53	6	0.2	surface	surf	3	47.8	68.125	-167.498	7.41	31.94	290.421				0.679	9	0.931		0.53	12.46			0.63	0.73		AMBON2015_006_3	9			94.4271					-1.235800462			
AMBON_2015_08_12_DBO3.4_20_A_mid		AMBON_2015_08_12_DBO3.4_20_A_mid	AMBON_2015_08_12_DBO3.4_20_A_mid	AMBON2015	 DBO3.4	S	  Aug 12 2015  14:42:53	6	0.2	mid	mid	21	47.8	68.125	-167.498	6.05	32.04	273.091				0.982	5	0.861		0.91	16.73			3	1.74		AMBON2015_006_21	5			78.222					-1.240037725			
AMBON_2015_08_12_DBO3.4_43_A_deep		AMBON_2015_08_12_DBO3.4_43_A_deep	AMBON_2015_08_12_DBO3.4_43_A_deep	AMBON2015	 DBO3.4	S	  Aug 12 2015  14:42:53	6	0.2	deep	bottom	44	47.8	68.125	-167.498	5.86	32.03	267.476				0.958	1	0.925		0.84	15.3			2.11	1.69		AMBON2015_006_44	1			70.802					-0.77958842			
AMBON_2015_08_12_DBO3.5_21_A_mid		AMBON_2015_08_12_DBO3.5_21_A_mid	AMBON_2015_08_12_DBO3.5_21_A_mid	AMBON2015	 DBO3.5	S	  Aug 12 2015  12:19:36	5	0.2	mid	mid	22	50.8	68.012	-167.866	5.11	32.06	265.364				0.38	4	0.525		1.06	17.79			2.26	3.74		AMBON2015_005_22	4			96.3284					-0.248518056			
